owner,team,league,recipient,amount,election_year,party,new_party,new_amount
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF DAVE JOYCE,"$5,400",2018,Republican,Republican,5400
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF JOHN BARRASSO,"$5,400",2018,Republican,Republican,5400
Jimmy and Susan Haslam,Cleveland Browns,NFL,JOSH HAWLEY FOR SENATE,"$5,400",2018,Republican,Republican,5400
Jimmy and Susan Haslam,Cleveland Browns,NFL,RENACCI FOR US SENATE,"$5,400",2018,Republican,Republican,5400
Jimmy and Susan Haslam,Cleveland Browns,NFL,RICK SCOTT FOR FLORIDA,"$5,400",2018,Republican,Republican,5400
Jimmy and Susan Haslam,Cleveland Browns,NFL,ROMNEY FOR UTAH INC,"$5,400",2018,Republican,Republican,5400
Jimmy and Susan Haslam,Cleveland Browns,NFL,ARIZONA GRASSROOTS ACTION PAC,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,BOOZMAN FOR ARKANSAS,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,BURR NC VICTORY FUND,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF KELLY AYOTTE INC,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,"GEORGIA REPUBLICAN PARTY, INC.","$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,MORAN FOR KANSAS,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,NEW HAMPSHIRE REPUBLICAN STATE COMMITTEE,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,RON JOHNSON FOR SENATE INC,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,TENN POLITICAL ACTION COMMITTEE INC (TENN PAC),"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,THE HAWKEYE PAC,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,TIM SCOTT FOR SENATE,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,TOOMEY PENNSYLVANIA VICTORY FUND,"$5,000",2016,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,SOCIETY OF INDEPENDENT GASOLINE MARKETERS OF AMERICA PAC,"$5,000",2016,"Bipartisan, but mostly Republican",Bipartisan,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,GRIDIRON-PAC,"$5,000",2016,Bipartisan,Bipartisan,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,GEORGE HOLDING FOR CONGRESS INC.,"$5,000",2018,Republican,Republican,5000
Jimmy and Susan Haslam,Cleveland Browns,NFL,WAKE REC FEDERAL,"$4,800",2016,Republican,Republican,4800
Jimmy and Susan Haslam,Cleveland Browns,NFL,FINKENAUER FOR CONGRESS,"$4,200",2020,Democrat,Democrat,4200
Jimmy and Susan Haslam,Cleveland Browns,NFL,MARK GREEN FOR CONGRESS,"$4,000",2018,Republican,Republican,4000
Jimmy and Susan Haslam,Cleveland Browns,NFL,NANCY MACE FOR CONGRESS,"$2,800",2020,Republican,Republican,2800
Jimmy and Susan Haslam,Cleveland Browns,NFL,STEVE DARDEN FOR CONGRESS,"$2,800",2020,Republican,Republican,2800
Jimmy and Susan Haslam,Cleveland Browns,NFL,KENDRA HORN FOR CONGRESS,"$2,800",2020,Democrat,Democrat,2800
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF JOHN MCCAIN INC,"$2,700",2016,Republican,Republican,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,MARCO RUBIO FOR SENATE 2016,"$2,700",2016,Republican,Republican,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,CARLOS CURBELO CONGRESS,"$2,700",2018,Republican,Republican,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF ERIK PAULSEN,"$2,700",2018,Republican,Republican,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,MIKE BISHOP FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,ROSKAM FOR CONGRESS COMMITTEE,"$2,700",2018,Republican,Republican,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,MARCIA FUDGE FOR CONGRESS,"$2,700",2018,Democrat,Democrat,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,RICHARD E NEAL FOR CONGRESS COMMITTEE,"$2,700",2018,Democrat,Democrat,2700
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF JOE HECK,"$2,500",2016,Republican,Republican,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,FRIENDS OF PAT TOOMEY,"$2,500",2016,Republican,Republican,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,KUSTOFF FOR CONGRESS,"$2,500",2016,Republican,Republican,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,"MARSHA BLACKBURN FOR CONGRESS, INC.","$2,500",2016,Republican,Republican,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,NEVADA REPUBLICAN CENTRAL COMMITTEE,"$2,500",2016,Republican,Republican,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,SOCIETY OF INDEPENDENT GASOLINE MARKETERS OF AMERICA PAC,"$2,500",2018,"Bipartisan, but mostly Republican",Bipartisan,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,TEAM CHENEY,"$2,500",2020,Republican,Republican,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,TEAM CHENEY,"$2,500",2020,Republican,Republican,2500
Jimmy and Susan Haslam,Cleveland Browns,NFL,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,"$2,300",2016,Republican,Republican,2300
Jimmy and Susan Haslam,Cleveland Browns,NFL,MIKE GALLAGHER FOR WISCONSIN,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PROTECT THE HOUSE,"$100,000",2018,Republican,Republican,100000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",HILLARY VICTORY FUND,"$27,000",2016,Democrat,Democrat,27000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF JOHN THUNE,"$5,400",2016,Republican,Republican,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",LISA MURKOWSKI FOR US SENATE,"$5,400",2016,Republican,Republican,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PEOPLE FOR PATTY MURRAY,"$5,400",2016,Democrat,Democrat,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",LISA MURKOWSKI FOR US SENATE,"$5,400",2018,Republican,Republican,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CHRIS COONS FOR DELAWARE,"$5,400",2018,Democrat,Democrat,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF MARIA,"$5,400",2018,Democrat,Democrat,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF SCHUMER,"$5,400",2018,Democrat,Democrat,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MONTANANS FOR TESTER,"$5,400",2018,Democrat,Democrat,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WHITEHOUSE FOR SENATE,"$5,400",2018,Democrat,Democrat,5400
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF KELLY AYOTTE INC,"$5,000",2016,Republican,Republican,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",M-PAC,"$5,000",2016,Democrat,Democrat,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CORY GARDNER FOR SENATE,"$5,000",2018,Republican,Republican,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GREAT AMERICA COMMITTEE,"$5,000",2018,Republican,Republican,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",HEARTLAND VALUES PAC,"$5,000",2018,Republican,Republican,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TEAM RYAN,"$5,000",2018,Republican,Republican,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",HOOPS PAC,"$5,000",2018,Democrat,Democrat,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",M-PAC,"$5,000",2018,Democrat,Democrat,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",150PAC.ORG,"$5,000",2018,Bipartisan,Bipartisan,5000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PRAMILA FOR CONGRESS,"$4,700",2018,Democrat,Democrat,4700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SCHATZ FOR SENATE,"$4,700",2018,Democrat,Democrat,4700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",UDALL FOR US ALL,"$4,700",2018,Democrat,Democrat,4700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",KEVIN MCCARTHY FOR CONGRESS,"$4,500",2018,Republican,Republican,4500
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF DAVE REICHERT,"$4,000",2016,Republican,Republican,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF JOHN MCCAIN INC,"$4,000",2016,Republican,Republican,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",KEVIN MCCARTHY FOR CONGRESS,"$4,000",2016,Republican,Republican,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PORTMAN FOR SENATE COMMITTEE,"$4,000",2016,Republican,Republican,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",THE RICHARD BURR COMMITTEE,"$4,000",2016,Republican,Republican,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WYDEN FOR SENATE,"$4,000",2016,Democrat,Democrat,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JAIME FOR CONGRESS,"$4,000",2018,Republican,Republican,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GILLIBRAND FOR SENATE,"$4,000",2018,Democrat,Democrat,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PEOPLE FOR DEREK KILMER,"$4,000",2018,Democrat,Democrat,4000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PEOPLE FOR DEREK KILMER,"$3,700",2016,Democrat,Democrat,3700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",COLLINS FOR SENATOR,"$3,700",2018,Republican,Republican,3700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL","FRIENDS FOR CHRIS STEWART, INC.","$3,700",2018,Republican,Republican,3700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CATHY MCMORRIS RODGERS FOR CONGRESS,"$3,500",2016,Republican,Republican,3500
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JAIME FOR CONGRESS,"$3,000",2016,Republican,Republican,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ADAM SMITH FOR CONGRESS COMMITTEE,"$3,000",2016,Democrat,Democrat,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BENNET FOR COLORADO,"$3,000",2016,Democrat,Democrat,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CHRIS COONS FOR DELAWARE,"$3,000",2016,Democrat,Democrat,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MONTANANS FOR TESTER,"$3,000",2016,Democrat,Democrat,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",HATCH ELECTION COMMITTEE INC,"$3,000",2018,Republican,Republican,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SIMPSON FOR CONGRESS,"$3,000",2018,Republican,Republican,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARPER FOR SENATE,"$3,000",2018,Democrat,Democrat,3000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PRAMILA FOR CONGRESS,"$2,700",2016,Democrat,Democrat,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DAN NEWHOUSE FOR CONGRESS,"$2,700",2018,Republican,Republican,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF JOHN BARRASSO,"$2,700",2018,Republican,Republican,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",KAY GRANGER CAMPAIGN FUND,"$2,700",2018,Republican,Republican,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ADAM SMITH FOR CONGRESS COMMITTEE,"$2,700",2018,Democrat,Democrat,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BILL NELSON FOR US SENATE,"$2,700",2018,Democrat,Democrat,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CITIZENS TO ELECT RICK LARSEN,"$2,700",2018,Democrat,Democrat,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DELBENE FOR CONGRESS,"$2,700",2018,Democrat,Democrat,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DENNY HECK FOR CONGRESS,"$2,700",2018,Democrat,Democrat,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TAMMY BALDWIN FOR SENATE,"$2,700",2018,Democrat,Democrat,2700
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TEAM GRAHAM INC,"$2,500",2018,Republican,Republican,2500
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DAN NEWHOUSE FOR CONGRESS,"$2,000",2016,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF ROY BLUNT,"$2,000",2016,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SIMPSON FOR CONGRESS,"$2,000",2016,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WALDEN FOR CONGRESS,"$2,000",2016,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CITIZENS TO ELECT RICK LARSEN,"$2,000",2016,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DELBENE FOR CONGRESS,"$2,000",2016,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DENNY HECK FOR CONGRESS,"$2,000",2016,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF SCHUMER,"$2,000",2016,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SCHATZ FOR SENATE,"$2,000",2016,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ALASKANS FOR DAN SULLIVAN,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BRADY FOR CONGRESS,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CATHY MCMORRIS RODGERS FOR CONGRESS,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CRAPO VICTORY COMMITTEE,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF DAVE JOYCE,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF ROY BLUNT,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GREG PENCE FOR CONGRESS,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JEFF FORTENBERRY FOR UNITED STATES CONGRESS,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JIM RISCH FOR U S SENATE COMMITTEE,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MAKING AMERICA PROSPEROUS PAC,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PORTMAN FOR SENATE COMMITTEE,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",STEVE DAINES FOR MONTANA,"$2,000",2018,Republican,Republican,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL","BEN CARDIN FOR SENATE, INC.","$2,000",2018,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CORY BOOKER FOR SENATE,"$2,000",2018,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GARAMENDI FOR CONGRESS,"$2,000",2018,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MARTIN HEINRICH FOR SENATE,"$2,000",2018,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,"$2,000",2018,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WYDEN FOR SENATE,"$2,000",2018,Democrat,Democrat,2000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BOB CORKER FOR SENATE 2018 INC,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",COLLINS FOR SENATOR,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CORY GARDNER FOR SENATE,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF JIM BRIDENSTINE INC.,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JEFF FLAKE FOR US SENATE INC,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",RYAN COSTELLO FOR CONGRESS,"$1,000",2016,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BLUMENAUER FOR CONGRESS,"$1,000",2016,Democrat,Democrat,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF BRADY WALKINSHAW,"$1,000",2016,Democrat,Democrat,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WHITEHOUSE FOR SENATE,"$1,000",2016,Democrat,Democrat,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARLOS CURBELO CONGRESS,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CULBERSON FOR CONGRESS,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DEBBIE DINGELL FOR CONGRESS,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MARTHA ROBY FOR CONGRESS,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ROBERT ADERHOLT FOR CONGRESS,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ROYCE CAMPAIGN COMMITTEE,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SANFORD FOR CONGRESS,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",VOLUNTEERS FOR SHIMKUS,"$1,000",2018,Republican,Republican,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DIANA DEGETTE FOR CONGRESS,"$1,000",2018,Democrat,Democrat,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",VISCLOSKY FOR CONGRESS,"$1,000",2018,Democrat,Democrat,1000
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",COMSTOCK FOR CONGRESS,$500,2016,Republican,Republican,500
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MIKE HONDA FOR CONGRESS,$500,2016,Democrat,Democrat,500
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",REED COMMITTEE; THE,$500,2016,Democrat,Democrat,500
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),$500,2018,Republican,Republican,500
Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WALDEN FOR CONGRESS,$500,2018,Republican,Republican,500
Joe Ellis,Denver Broncos,NFL,GRIDIRON-PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Joe Ellis,Denver Broncos,NFL,STAPLETON VICTORY FUND,"$10,000",2018,Republican,Republican,10000
Joe Ellis,Denver Broncos,NFL,GRIDIRON-PAC,"$5,000",2018,Bipartisan,Bipartisan,5000
Joe Ellis,Denver Broncos,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
Joe Ellis,Denver Broncos,NFL,COLORADO REPUBLICAN COMMITTEE,"$2,000",2016,Republican,Republican,2000
Joe Gibbs,Joe Gibbs Racing,NASCAR,"PITTENGER FOR CONGRESS, LLC","$5,000",2018,Republican,Republican,5000
Joe Gibbs,Joe Gibbs Racing,NASCAR,THE PITTENGER VICTORY FUND,"$5,000",2018,Republican,Republican,5000
Joel Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$10,000",2016,Bipartisan,Bipartisan,10000
Joel Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$10,000",2018,Bipartisan,Bipartisan,10000
Joel Glazer,Tampa Bay Buccaneers,NFL,HILLARY VICTORY FUND,"$5,400",2016,Democrat,Democrat,5400
Joel Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,"$5,400",2018,Democrat,Democrat,5400
Joel Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,"$5,000",2020,Bipartisan,Bipartisan,5000
John Fisher,Oakland Athletics,MLB,COTTON VICTORY,"$10,400",2018,Republican,Republican,10400
John Fisher,Oakland Athletics,MLB,BOB CORKER FOR SENATE 2018 INC,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,COMSTOCK FOR CONGRESS,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,DAN CRENSHAW FOR CONGRESS,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,FRIENDS OF ANDY COLEMAN,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,HATCH ELECTION COMMITTEE INC,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,HELLER FOR SENATE,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,HURD VICTORY FUND,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,JEFF FLAKE FOR US SENATE INC,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,MIMI WALTERS VICTORY FUND,"$5,400",2018,Republican,Republican,5400
John Fisher,Oakland Athletics,MLB,SASSE LEADERSHIP COMMITTEE,"$5,400",2018,Republican,Republican,5400
